First Name,Last Name,Email,Phone Number,Job Title,Company Name,LinkedIn URL
Clara,Nyberg,clara.nyberg@merrow.example,+1 555 0157,VP Marketing,"Merrow Analytics",
Rania,Ellis,rania.ellis@fairbank.example,,,"Fairbank Group",
Mia,Sorensen,mia.sorensen@ridgeline.example,,Account Executive,"Ridgeline Software",https://linkedin.com/in/mia-sorensen-3
Bruno,Lindqvist,,+1 555 0176,,"Northwind Trading",
Clara,Reyes,clara.reyes@vertex.example,,RevOps Manager,"Vertex Retail",
Diego,Osei,diego.osei@merrow.example,+1 555 0190,,"Merrow Analytics",https://linkedin.com/in/diego-osei-6
Rania,Rossi,,+1 555 0151,,"Northwind Trading",
Zoe,Bennett,,+1 555 0106,Customer Success Lead,"Northwind Trading",
Talia,Bianchi,talia.bianchi@vertex.example,,,"Vertex Retail",
Nora,Whitfield,,,,"Acme, Inc",
Sven,Silva,,,Account Executive,"Merrow Analytics",
Maya,Moreau,maya.moreau@ridgeline.example,,,"Ridgeline Software",https://linkedin.com/in/maya-moreau-12
Mateo,Rossi,,,RevOps Manager,"Northwind Trading",
Hugo,Duarte,hugo.duarte@halcyon.example,+1 555 0142,Customer Success Lead,"Halcyon Freight",
Ethan,Duarte,ethan.duarte@fairbank.example,,Director of Demand Gen,"Fairbank Group",
Mateo,Ellis,,,Founder,"Fairbank Group",https://linkedin.com/in/mateo-ellis-16
Jamal,Novak,,,Customer Success Lead,"Vertex Retail",https://linkedin.com/in/jamal-novak-17
Ingrid,Lindqvist,,,Founder,"Ridgeline Software",
Felix,Feld,felix.feld@ridgeline.example,,,"Ridgeline Software",
Zoe,Kaur,zoe.kaur@vertex.example,,RevOps Manager,"Vertex Retail",
Marc,Lambert,,,,"Northwind Trading",
Freya,Vance,freya.vance@merrow.example,,Director of Demand Gen,"Merrow Analytics",https://linkedin.com/in/freya-vance-22
Bruno,Reyes,bruno.reyes@blue.example,+1 555 0160,Founder,"Blue Harbor Labs",https://linkedin.com/in/bruno-reyes-23
Noah,Sorensen,noah.sorensen@acme.example,+1 555 0140,,"Acme, Inc",
Clara,Nowak,clara.nowak@pine.example,+1 555 0194,Account Executive,"Pine & Rowe",https://linkedin.com/in/clara-nowak-25
Tomas,Vance,tomas.vance@acme.example,+1 555 0153,Head of Sales,"Acme, Inc",https://linkedin.com/in/tomas-vance-26
Talia,Bennett,talia.bennett@fairbank.example,,,"Fairbank Group",
Ethan,Bianchi,ethan.bianchi@acme.example,+1 555 0193,,"Acme, Inc",https://linkedin.com/in/ethan-bianchi-28
Mateo,Marchetti,mateo.marchetti@halcyon.example,,Partnerships Manager,"Halcyon Freight",
Ingrid,Lindqvist,,+1 555 0114,Director of Demand Gen,"Halcyon Freight",
Ava,Vance,,,SDR,"Cobalt Health",https://linkedin.com/in/ava-vance-31
Clara,Ellis,clara.ellis@vertex.example,,,"Vertex Retail",
Sana,Ferreira,sana.ferreira@vertex.example,,,"Vertex Retail",
Sven,Vance,sven.vance@northwind.example,+1 555 0135,RevOps Manager,"Northwind Trading",
Diego,Sandoval,diego.sandoval@vertex.example,,SDR,"Vertex Retail",https://linkedin.com/in/diego-sandoval-35
Jamal,Marchetti,,,Head of Sales,"Pine & Rowe",https://linkedin.com/in/jamal-marchetti-36
Diego,Reyes,diego.reyes@pine.example,+1 555 0102,Customer Success Lead,"Pine & Rowe",
Noah,Whitfield,noah.whitfield@cobalt.example,,,"Cobalt Health",https://linkedin.com/in/noah-whitfield-38
Clara,Moreau,clara.moreau@merrow.example,+1 555 0109,VP Marketing,"Merrow Analytics",https://linkedin.com/in/clara-moreau-39
